Question,Answer
"How can I collect my Student Identity Card?","Please send your enquiry to Academic Registry at ar.reg@polyu.edu.hk for their further reply. You may contact them at (852) 2333 0600 for follow up action."
"I still haven't received my Entry Visa. How can I know my application status?","Please send your enquiry to Entry Visa Applications of Academic Registry at ar.entryvisa@polyu.edu.hk for their further reply. You may contact them at (852) 2333 0600 for follow up action."
"I have some enquiries on academic programme. Who should I ask?","Please send your enquiry to Academic Registry at ar.dept@polyu.edu.hk for their further reply. You may contact them at (852) 2333 0600 for follow up action."
"Polyu academic calendar","The links for academic calendar of semester one 25/26, semester two 25/26 and summer term 26 respectively are as follows: https://www.polyu.edu.hk/nlss/resources-and-contacts/faq/?sc_lang=en#collapse-8. https://www.polyu.edu.hk/nlss/resources-and-contacts/faq/?sc_lang=en#collapse-9. https://www.polyu.edu.hk/nlss/resources-and-contacts/faq/?sc_lang=en#collapse-10"
"What is Octopus Card","Octopus is a contactless payment tool which is easy to use and accepted all over Hong Kong. You can use it for public transport, shopping and more. Eligible full-time day-course students studying in a recognised institution in Hong Kong can enjoy concessionary fares for most public transports."
"Some courses offer more than one class (for example 3 classes). Is it possible for me to enrol in different classes of the same course for each of my three choices?","No. A student may enrol in up to two classes of a course that offers more than one class."
"I want to apply for a Level II course. What are the entry requirements?","To be eligible to apply for a Level II course, you should have already completed Level I of that course and obtained a certificate either from Student Affairs Office or other institutions."
"I have enrolled in two courses with conflicting schedules. What should I do?","You are advised to drop one of them, as zero attendance will seriously affect your enrolment in other EXCELL courses in the future. Please write to excell.prog@polyu.edu.hk to apply for withdrawal before the course starts. There will be NO refund in this situation."
"I have paid the enrolment fees. However, I cannot find my name in the roll call list when I attend the first lesson. What should I do?","Please write down your name, student no. and contact phone no. on the sheet provided by the instructor or contact the Student Affairs Office the next day. We will contact you before the second session."
"I have already attended a few sessions, but will not be able to finish the entire course due to a change in my personal schedule. Do I need to apply for course withdrawal?","It is not required for you to apply for course withdrawal but you should inform your instructor and let him/her know the reason. It is important to value the learning opportunity and try to attend as many sessions as possible. Please also note that students who fail to achieve the required attendance rate, and without an acceptable reason, may be suspended from joining other EXCELL courses for a certain period."
"What is the required graduation credit for COMP students?","The required minimum credit is 120 credits."
"Where can I see my course materials?","You can access your course materials on Blackboard, a Polyu website, or you can download the app version of Blackboard, your registered classes will appear under 'courses'."
"What is the add/drop period?","The add/drop period is the first two weeks of every semester, you are allowed to drop and register for classes in that period."
"How do I register for classes?","You can register for classes through polyu estudent -> my subject registration -> subject registration"
"Will PolyU consider applicants who fall short slightly from the entrance requirements of degree schemes / programmes?","Applicants who fall short slightly on the general entrance requirements of our schemes / programmes may be specially considered for admission. Details will be announced in due course."
"If applicants have not taken the preferred subject(s) listed in the entrance requirement of a specific scheme / programme, would they be considered?","Yes, there is no mandatory subject requirement for individual schemes / programmes. Only preferred subjects, which carry the highest weighting in the calculation of admission scores, are listed. For admittees who have not studied the preferred subjects, they may need to take additional relevant underpinning subjects after admission so as to get the necessary foundation knowledge."
"For students who have not taken Chinese Language in their secondary education, will they be considered for admission to PolyU?","Since Chinese Language is a core subject in HKDSE, all S6 students sitting for HKDSE are expected to either take the examination of Chinese Language or, where appropriate, the alternative Chinese Language. PolyU recognises applicants’ alternative Chinese qualifications i.e. applicants endorsed by schools for meeting EDB’s specified circumstances and having achieved the required grade in Chinese in one of the examinations listed in the table below. These applicants will be regarded as obtaining a Level 3 or above in HKDSE Chinese for meeting our entrance requirements, and for calculation of the related admission scores according to the conversion scale listed in the table below. These cases will also be highlighted to departments concerned for their attention and suitable consideration."
"If students cannot get a Level 3 for their HKDSE Chinese Language, could their results in other language subjects be used to replace the Chinese requirement?","No, they cannot."
"Can IELTS / TOEFL results be used to meet the English Language requirement?","No, they cannot. All applicants seeking admission on the basis of HKDSE results are expected to meet the HKDSE English Language requirement."
